Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0732497,2020-10-02,2020-11-03,Darryl,Craig Robinson,Hot Tub Time Machine,1971-10-25
2,nm2608689,2020-10-02,2020-11-03,Erin,Ellie Kemper,Bridesmaids,1980-05-02
3,nm1145983,2020-10-02,2020-11-03,Ryan,B.J. Novak,Vengeance,1979-07-31
4,nm1526554,2020-10-02,2020-11-03,Angela,Angela Kinsey,The Office,1971-06-25
5,nm1159180,2020-10-02,2020-11-03,Andy,Ed Helms,The Hangover,1974-01-24
6,nm1411676,2020-10-02,2020-11-03,Kelly,Mindy Kaling,The Office,1979-06-24
7,nm0281212,2020-10-02,2020-11-03,Meredith,Kate Flannery,The Office,1964-06-10
8,nm0105588,2020-10-02,2020-11-03,Creed,Creed Bratton,The Office,1943-02-08
9,nm1534715,2020-10-02,2020-11-03,Stanley,Leslie David Baker,The Office,1958-02-19
10,nm0278979,2020-10-02,2020-11-03,Pam,Jenna Fischer,The Office,1974-03-07
11,nm1386645,2020-10-02,2020-11-03,Oscar,Oscar Nunez,The Proposal,1958-11-18
12,nm1024677,2020-10-02,2020-11-03,Jim,John Krasinski,Jack Ryan,1979-10-20
13,nm1580911,2020-10-02,2020-11-03,Kevin,Brian Baumgartner,The Office,
14,nm0933988,2020-10-02,2020-11-03,Dwight,Rainn Wilson,The Office,1966-01-20
15,nm0136797,2020-10-02,2020-11-03,Michael,Steve Carell,The Office,1962-08-16
16,nm0809613,2020-10-02,2020-11-03,Phyllis,Phyllis Smith,Inside Out,1951-07-10
17,nm0509425,2020-10-03,2020-11-03,Toby,Paul Lieberstein,The Office,1967-02-22
